# substrate network: 
# only use spaces as delimiter (no tabs)
# Nodes: id cpu
0 200
1 200
2 200
3 200
4 200
5 200
6 200
7 200
8 200
9 200
10 200
11 200
12 200
13 200
14 200
15 200
16 200
17 200
18 200

# Links: src_id sink_id bw delay
0 1 100 1
1 2 100 2
0 3 100 3
0 4 100 1
3 4 100 1
1 4 100 2 
1 5 100 3
4 5 100 2
2 5 100 1
2 6 100 2
5 6 100 2
3 7 100 3
3 8 100 1
7 8 100 1
4 8 100 2
4 9 100 3
8 9 100 2
5 9 100 1
5 10 100 2
9 10 100 2
6 10 100 3
6 11 100 1
10 11 100 2
7 12 100 2
8 12 100 3
8 13 100 1
12 13 100 2
9 13 100 2
9 14 100 3
10 14 100 1
10 15 100 2
11 15 100 3
12 16 100 1
13 16 100 2
13 17 100 3
13 14 100 2
14 17 100 1
14 18 100 2
14 15 100 2
15 18 100 3
16 17 100 2
17 18 100 1
